,name,year,max_wind,name_year,hurricane_id,date,time,status,latitude,longitude,air_pressure,latitude_decimal,longitude_decimal
399,Flossy,1956,80,Flossy_1956,62,19560920,1800,TD,18.0N,86.5W,-999,18.0,-86.08
479,Greta,1956,85,Greta_1956,63,19561031,0,TD,20.0N,74.7W,-999,20.0,-74.12
72,Audrey,1957,110,Audrey_1957,64,19570624,1200,TD,21.0N,93.0W,-999,21.0,-93.0
92,Bertha,1957,55,Bertha_1957,65,19570808,0,TD,27.0N,87.4W,-999,27.0,-87.07
154,Carrie,1957,120,Carrie_1957,66,19570902,600,TD,13.0N,21.3W,-999,13.0,-21.05
237,Debbie,1957,35,Debbie_1957,67,19570907,600,TS,23.9N,89.8W,-999,23.15,-89.13
353,Esther,1957,55,Esther_1957,68,19570916,0,TD,20.8N,93.0W,-999,20.13,-93.0
427,Frieda,1957,75,Frieda_1957,69,19570920,1200,TD,31.7N,65.8W,-999,31.12,-65.13
28,Alma,1958,55,Alma_1958,70,19580614,600,TD,21.1N,94.5W,-999,21.02,-94.08
86,Becky,1958,60,Becky_1958,71,19580808,1200,TD,16.5N,20.5W,-999,16.08,-20.08
205,Cleo,1958,120,Cleo_1958,72,19580811,600,TD,12.0N,20.5W,-999,12.0,-20.08
215,Daisy,1958,115,Daisy_1958,73,19580823,1800,TD,25.0N,73.0W,-999,25.0,-73.0
319,Ella,1958,95,Ella_1958,74,19580830,600,TD,12.5N,58.0W,-999,12.08,-58.0
378,Fifi,1958,75,Fifi_1958,75,19580904,1200,TD,10.1N,44.8W,-999,10.02,-44.13
444,Gerda,1958,50,Gerda_1958,76,19580914,600,TS,17.4N,67.5W,-999,17.07,-67.08
506,Helene,1958,130,Helene_1958,77,19580921,600,TD,17.0N,52.0W,-999,17.0,-52.0
543,Ilsa,1958,95,Ilsa_1958,78,19580924,600,TS,17.5N,51.5W,-999,17.08,-51.08
580,Janice,1958,85,Janice_1958,79,19581004,1200,TD,18.5N,81.1W,-999,18.08,-81.02
55,Arlene,1959,55,Arlene_1959,80,19590528,600,TD,23.3N,86.5W,-999,23.05,-86.08
113,Beulah,1959,60,Beulah_1959,81,19590615,1800,TS,21.1N,94.7W,-999,21.02,-94.12
188,Cindy,1959,65,Cindy_1959,82,19590704,1200,TD,31.5N,79.0W,-999,31.08,-79.0
248,Debra,1959,75,Debra_1959,83,19590722,1800,TD,27.5N,91.2W,-999,27.08,-91.03
298,Edith,1959,50,Edith_1959,84,19590818,0,TS,14.3N,57.9W,1007,14.05,-57.15
386,Flora,1959,65,Flora_1959,85,19590909,600,TD,16.8N,45.8W,-999,16.13,-45.13
478,Gracie,1959,115,Gracie_1959,86,19590920,1200,TD,19.8N,68.3W,1009,19.13,-68.05
493,Hannah,1959,105,Hannah_1959,87,19590927,1200,TD,26.8N,49.9W,-999,26.13,-49.15
551,Irene,1959,40,Irene_1959,88,19591006,1800,TD,23.2N,92.5W,-999,23.03,-92.08
612,Judith,1959,75,Judith_1959,89,19591014,600,TD,14.0N,73.5W,-999,14.0,-73.08
0,Abby,1960,70,Abby_1960,90,19600709,1200,TS,12.0N,55.8W,-999,12.0,-55.13
133,Brenda,1960,60,Brenda_1960,91,19600727,1800,TD,27.7N,85.1W,-999,27.12,-85.02
206,Cleo,1960,75,Cleo_1960,92,19600817,1800,TD,26.0N,74.7W,-999,26.0,-74.12
275,Donna,1960,125,Donna_1960,93,19600829,1800,TD,10.2N,22.8W,-999,10.03,-22.13
356,Ethel,1960,100,Ethel_1960,94,19600912,1800,TD,22.0N,93.0W,-999,22.0,-93.0
390,Florence,1960,50,Florence_1960,95,19600917,600,TD,20.9N,64.0W,-999,20.15,-64.0
51,Anna,1961,90,Anna_1961,96,19610717,1800,TD,10.5N,46.0W,-999,10.08,-46.0
110,Betsy,1961,115,Betsy_1961,97,19610902,600,TS,13.3N,41.6W,-999,13.05,-41.1
148,Carla,1961,125,Carla_1961,98,19610903,1200,TD,12.5N,77.0W,-999,12.08,-77.0
238,Debbie,1961,80,Debbie_1961,99,19610905,1200,TD,13.5N,17.7W,-999,13.08,-17.12
354,Esther,1961,140,Esther_1961,100,19610910,1200,TD,11.2N,31.0W,-999,11.03,-31.0
413,Frances,1961,115,Frances_1961,101,19610930,600,TS,16.0N,58.0W,-999,16.0,-58.0
445,Gerda,1961,65,Gerda_1961,102,19611017,0,TD,19.7N,77.9W,1003,19.12,-77.15
500,Hattie,1961,145,Hattie_1961,103,19611026,0,TD,10.5N,79.0W,-999,10.08,-79.0
585,Jenny,1961,70,Jenny_1961,104,19611102,0,TD,22.5N,59.0W,-999,22.08,-59.0
546,Inga,1961,60,Inga_1961,105,19611104,0,TS,19.7N,94.3W,-999,19.12,-94.05
29,Alma,1962,75,Alma_1962,106,19620826,1200,TD,25.7N,79.7W,-999,25.12,-79.12
87,Becky,1962,50,Becky_1962,107,19620827,600,TS,16.0N,18.0W,-999,16.0,-18.0
156,Celia,1962,60,Celia_1962,108,19620912,0,TS,15.9N,45.9W,-999,15.15,-45.15
216,Daisy,1962,90,Daisy_1962,109,19620929,600,TD,14.5N,48.9W,-999,14.08,-48.15
320,Ella,1962,95,Ella_1962,110,19621014,600,TD,22.5N,73.0W,-999,22.08,-73.0
56,Arlene,1963,100,Arlene_1963,111,19630731,1800,TD,11.0N,39.4W,-999,11.0,-39.07
114,Beulah,1963,105,Beulah_1963,112,19630820,0,TD,11.2N,47.4W,-999,11.03,-47.07
189,Cindy,1963,55,Cindy_1963,113,19630916,1200,TS,26.7N,93.7W,-999,26.12,-93.12
249,Debra,1963,65,Debra_1963,114,19630919,600,TD,14.0N,38.3W,-999,14.0,-38.05
299,Edith,1963,85,Edith_1963,115,19630923,1200,TD,11.2N,51.5W,-999,11.03,-51.08
387,Flora,1963,130,Flora_1963,116,19630928,1200,TD,9.2N,46.3W,-999,9.03,-46.05
459,Ginny,1963,95,Ginny_1963,117,19631017,1800,TD,25.5N,72.0W,-999,25.08,-72.0
505,Helena,1963,45,Helena_1963,118,19631025,600,TD,14.8N,58.3W,-999,14.13,-58.05
1,Abby,1964,60,Abby_1964,119,19640805,1800,TD,27.3N,87.7W,-999,27.05,-87.12
