,name,year,max_wind,name_year,hurricane_id,date,time,status,latitude,longitude,air_pressure,latitude_decimal,longitude_decimal
24,Allen,1980,165,Allen_1980,254,19800731,1200,DB,11.0N,30.0W,-999,11.0,-30.0
125,Bonnie,1980,85,Bonnie_1980,255,19800814,0,TD,12.7N,35.5W,1010,12.12,-35.08
169,Charley,1980,70,Charley_1980,256,19800820,1200,SD,36.0N,73.0W,1010,36.0,-73.0
442,Georges,1980,70,Georges_1980,257,19800901,0,TD,15.6N,38.0W,1010,15.1,-38.0
287,Earl,1980,65,Earl_1980,258,19800904,1200,TD,17.7N,24.0W,1008,17.12,-24.0
217,Danielle,1980,50,Danielle_1980,259,19800904,1800,TD,28.3N,90.6W,1010,28.05,-90.1
416,Frances,1980,100,Frances_1980,260,19800906,0,TD,12.5N,19.0W,1010,12.08,-19.0
517,Hermine,1980,60,Hermine_1980,261,19800920,1200,TD,14.6N,77.2W,1008,14.1,-77.03
576,Ivan,1980,90,Ivan_1980,262,19801001,0,EX,33.6N,20.0W,1010,33.1,-20.0
582,Jeanne,1980,85,Jeanne_1980,263,19801107,1800,DB,13.6N,82.6W,1008,13.1,-82.1
624,Karl,1980,75,Karl_1980,264,19801125,0,SS,36.0N,46.0W,988,36.0,-46.0
59,Arlene,1981,50,Arlene_1981,265,19810506,1800,TD,18.4N,83.6W,1006,18.07,-83.1
137,Bret,1981,60,Bret_1981,266,19810629,1200,SS,36.0N,65.0W,1012,36.0,-65.0
190,Cindy,1981,50,Cindy_1981,267,19810802,1800,SD,36.1N,67.8W,1010,36.02,-67.13
254,Dennis,1981,70,Dennis_1981,268,19810807,600,TD,10.5N,25.7W,1009,10.08,-25.12
326,Emily,1981,80,Emily_1981,269,19810831,1200,SD,29.8N,72.7W,1008,29.13,-72.12
400,Floyd,1981,100,Floyd_1981,270,19810903,1200,TD,16.2N,60.3W,1010,16.03,-60.05
447,Gert,1981,90,Gert_1981,271,19810907,0,TD,14.8N,54.0W,1013,14.13,-54.0
494,Harvey,1981,115,Harvey_1981,272,19810911,1800,TD,14.0N,49.0W,1009,14.0,-49.0
553,Irene,1981,105,Irene_1981,273,19810921,1200,TD,13.5N,32.5W,1015,13.08,-32.08
597,Jose,1981,45,Jose_1981,274,19811029,1200,TD,25.0N,47.5W,1010,25.0,-47.08
635,Katrina,1981,75,Katrina_1981,275,19811103,0,TD,16.9N,81.2W,1005,16.15,-81.03
7,Alberto,1982,75,Alberto_1982,276,19820602,1200,TD,21.7N,87.1W,1005,21.12,-87.02
99,Beryl,1982,60,Beryl_1982,277,19820828,1200,TD,13.7N,22.2W,1008,13.12,-22.03
180,Chris,1982,55,Chris_1982,278,19820909,0,SD,26.2N,91.0W,1010,26.03,-91.0
241,Debby,1982,115,Debby_1982,279,19820913,1200,TD,19.8N,69.5W,1010,19.13,-69.08
346,Ernesto,1982,60,Ernesto_1982,280,19820930,1200,TD,24.8N,65.4W,1006,24.13,-65.07
23,Alicia,1983,100,Alicia_1983,281,19830815,1200,TD,27.3N,90.5W,1009,27.05,-90.08
79,Barry,1983,70,Barry_1983,282,19830823,1800,TD,26.0N,76.0W,1012,26.0,-76.0
162,Chantal,1983,65,Chantal_1983,283,19830910,1200,TD,30.2N,64.4W,1010,30.03,-64.07
232,Dean,1983,55,Dean_1983,284,19830926,1800,SS,28.0N,73.0W,1010,28.0,-73.0
66,Arthur,1984,45,Arthur_1984,285,19840828,1800,TD,10.5N,51.0W,1010,10.08,-51.0
93,Bertha,1984,35,Bertha_1984,286,19840830,1200,TD,13.1N,41.0W,1009,13.02,-41.0
159,Cesar,1984,50,Cesar_1984,287,19840831,0,SD,36.6N,66.9W,1008,36.1,-66.15
259,Diana,1984,115,Diana_1984,288,19840908,1200,TS,28.5N,77.4W,1008,28.08,-77.07
305,Edouard,1984,55,Edouard_1984,289,19840914,0,TD,20.3N,96.1W,1000,20.05,-96.02
409,Fran,1984,55,Fran_1984,290,19840915,1200,TD,13.7N,21.3W,1010,13.12,-21.05
483,Gustav,1984,45,Gustav_1984,291,19840916,1800,TD,28.6N,65.5W,1009,28.1,-65.08
527,Hortense,1984,65,Hortense_1984,292,19840923,0,SD,31.3N,58.3W,1009,31.05,-58.05
570,Isidore,1984,50,Isidore_1984,293,19840925,1200,TD,23.4N,73.0W,1003,23.07,-73.0
602,Josephine,1984,90,Josephine_1984,294,19841007,600,SD,24.1N,68.9W,1010,24.02,-68.15
644,Klaus,1984,80,Klaus_1984,295,19841105,1800,TD,14.7N,68.8W,1004,14.12,-68.13
661,Lili,1984,70,Lili_1984,296,19841212,1200,SS,34.5N,60.5W,995,34.08,-60.08
38,Ana,1985,60,Ana_1985,297,19850715,1800,TD,29.4N,64.2W,1011,29.07,-64.03
123,Bob,1985,65,Bob_1985,298,19850721,600,TD,26.0N,85.0W,1012,26.0,-85.0
199,Claudette,1985,75,Claudette_1985,299,19850809,1800,SD,31.5N,80.5W,1013,31.08,-80.08
224,Danny,1985,80,Danny_1985,300,19850812,0,TD,18.5N,80.7W,1010,18.08,-80.12
317,Elena,1985,110,Elena_1985,301,19850828,0,TD,19.8N,74.0W,1012,19.13,-74.0
360,Fabian,1985,55,Fabian_1985,302,19850915,1800,TD,23.6N,70.8W,1008,23.1,-70.13
466,Gloria,1985,125,Gloria_1985,303,19850916,1200,TD,13.3N,23.6W,1009,13.05,-23.1
513,Henri,1985,50,Henri_1985,304,19850921,1800,TD,29.6N,74.3W,1008,29.1,-74.05
567,Isabel,1985,60,Isabel_1985,305,19851007,0,TD,17.8N,69.2W,1006,17.13,-69.03
610,Juan,1985,75,Juan_1985,306,19851026,0,TD,24.5N,90.5W,1005,24.08,-90.08
629,Kate,1985,105,Kate_1985,307,19851115,1800,TS,21.1N,63.8W,999,21.02,-63.13
47,Andrew,1986,45,Andrew_1986,308,19860605,0,SD,26.2N,75.8W,1007,26.03,-75.13
126,Bonnie,1986,75,Bonnie_1986,309,19860623,1800,TD,25.6N,87.2W,1014,25.1,-87.03
170,Charley,1986,70,Charley_1986,310,19860813,1200,SD,30.1N,84.0W,1009,30.02,-84.0
218,Danielle,1986,50,Danielle_1986,311,19860907,600,TD,10.5N,52.0W,1008,10.08,-52.0
288,Earl,1986,90,Earl_1986,312,19860910,1800,TD,21.8N,50.8W,1010,21.13,-50.13
417,Frances,1986,75,Frances_1986,313,19861118,1800,TD,22.8N,62.8W,1009,22.13,-62.13
60,Arlene,1987,65,Arlene_1987,314,19870808,0,LO,34.3N,77.5W,1016,34.05,-77.08
138,Bret,1987,45,Bret_1987,315,19870818,0,TD,14.8N,20.0W,1011,14.13,-20.0
191,Cindy,1987,45,Cindy_1987,316,19870905,1200,TD,15.2N,31.3W,1011,15.03,-31.05
255,Dennis,1987,45,Dennis_1987,317,19870908,1800,TD,10.8N,18.4W,1012,10.13,-18.07
327,Emily,1987,110,Emily_1987,318,19870920,0,TD,9.8N,51.3W,1008,9.13,-51.05
401,Floyd,1987,65,Floyd_1987,319,19871009,600,TD,15.0N,82.6W,1004,15.0,-82.1
8,Alberto,1988,35,Alberto_1988,320,19880805,1800,TD,32.0N,77.5W,1015,32.0,-77.08
100,Beryl,1988,45,Beryl_1988,321,19880808,0,TD,30.4N,90.3W,1010,30.07,-90.05
181,Chris,1988,45,Chris_1988,322,19880821,1200,TD,14.9N,43.3W,1009,14.15,-43.05
242,Debby,1988,65,Debby_1988,323,19880831,1800,TD,20.1N,91.0W,1006,20.02,-91.0
347,Ernesto,1988,55,Ernesto_1988,324,19880903,0,TD,32.5N,60.5W,1016,32.08,-60.08
392,Florence,1988,70,Florence_1988,325,19880907,600,TD,22.8N,92.0W,1000,22.13,-92.0
454,Gilbert,1988,160,Gilbert_1988,326,19880908,1800,TD,12.0N,54.0W,1008,12.0,-54.0
507,Helene,1988,125,Helene_1988,327,19880919,1800,TD,13.4N,31.6W,1009,13.07,-31.1
562,Isaac,1988,40,Isaac_1988,328,19880928,1800,TD,9.0N,45.5W,1009,9.0,-45.08
595,Joan,1988,125,Joan_1988,329,19881010,1800,TD,8.9N,42.2W,1010,8.15,-42.03
638,Keith,1988,65,Keith_1988,330,19881117,1800,TD,14.9N,74.3W,1008,14.15,-74.05
25,Allison,1989,45,Allison_1989,331,19890624,1800,TD,27.0N,96.0W,1008,27.0,-96.0
80,Barry,1989,45,Barry_1989,332,19890709,1800,TD,12.8N,37.8W,1015,12.13,-37.13
163,Chantal,1989,70,Chantal_1989,333,19890730,1200,TD,22.5N,90.0W,1011,22.08,-90.0
233,Dean,1989,90,Dean_1989,334,19890731,600,TD,14.8N,41.8W,1010,14.13,-41.13
340,Erin,1989,90,Erin_1989,335,19890818,0,TD,14.3N,22.4W,1012,14.05,-22.07
370,Felix,1989,75,Felix_1989,336,19890826,0,TD,16.8N,21.0W,1009,16.13,-21.0
429,Gabrielle,1989,125,Gabrielle_1989,337,19890830,1200,TD,11.6N,21.0W,1011,11.1,-21.0
532,Hugo,1989,140,Hugo_1989,338,19890910,1200,TD,13.2N,20.0W,1010,13.03,-20.0
557,Iris,1989,60,Iris_1989,339,19890916,1800,TD,11.3N,44.0W,1017,11.05,-44.0
587,Jerry,1989,75,Jerry_1989,340,19891012,1200,TD,19.4N,92.4W,1009,19.07,-92.07
618,Karen,1989,50,Karen_1989,341,19891128,1200,TD,17.1N,84.0W,1005,17.02,-84.0
67,Arthur,1990,60,Arthur_1990,342,19900722,600,TD,8.8N,41.9W,1010,8.13,-41.15
94,Bertha,1990,70,Bertha_1990,343,19900724,1200,SD,34.0N,75.0W,1012,34.0,-75.0
160,Cesar,1990,45,Cesar_1990,344,19900731,0,TD,10.1N,22.2W,1014,10.02,-22.03
306,Edouard,1990,40,Edouard_1990,345,19900802,1800,SD,38.0N,23.0W,1015,38.0,-23.0
260,Diana,1990,85,Diana_1990,346,19900804,0,TD,13.2N,79.5W,1009,13.03,-79.08
410,Fran,1990,35,Fran_1990,347,19900811,1200,TD,9.0N,32.1W,1010,9.0,-32.02
484,Gustav,1990,105,Gustav_1990,348,19900824,600,TD,12.6N,45.9W,1010,12.1,-45.15
528,Hortense,1990,55,Hortense_1990,349,19900825,0,TD,12.5N,35.0W,1010,12.08,-35.0
571,Isidore,1990,85,Isidore_1990,350,19900904,0,TD,7.2N,23.4W,1010,7.03,-23.07
603,Josephine,1990,75,Josephine_1990,351,19900921,600,TD,14.0N,32.0W,1009,14.0,-32.0
645,Klaus,1990,70,Klaus_1990,352,19901003,1200,TD,15.6N,59.3W,1008,15.1,-59.05
662,Lili,1990,65,Lili_1990,353,19901006,600,SS,36.0N,44.0W,1000,36.0,-44.0
676,Marco,1990,55,Marco_1990,354,19901009,1200,TD,22.5N,79.5W,1004,22.08,-79.08
700,Nana,1990,75,Nana_1990,355,19901016,0,TD,22.2N,60.4W,1009,22.03,-60.07
39,Ana,1991,45,Ana_1991,356,19910629,1200,LO,25.9N,78.0W,1012,25.15,-78.0
124,Bob,1991,100,Bob_1991,357,19910816,0,TD,25.6N,74.3W,1014,25.1,-74.05
200,Claudette,1991,115,Claudette_1991,358,19910904,1200,TD,26.7N,55.9W,1014,26.12,-55.15
225,Danny,1991,45,Danny_1991,359,19910907,0,TD,10.4N,25.8W,1010,10.07,-25.13
335,Erika,1991,50,Erika_1991,360,19910908,1800,TD,24.2N,49.1W,1011,24.03,-49.02
361,Fabian,1991,40,Fabian_1991,361,19911015,0,TD,18.9N,85.7W,1010,18.15,-85.12
473,Grace,1991,90,Grace_1991,362,19911025,1800,SD,27.1N,64.9W,1008,27.02,-64.15
48,Andrew,1992,150,Andrew_1992,363,19920816,1800,TD,10.8N,35.5W,1010,10.13,-35.08
127,Bonnie,1992,95,Bonnie_1992,364,19920917,1800,TD,33.8N,59.0W,1009,33.13,-59.0
171,Charley,1992,95,Charley_1992,365,19920921,1800,TD,30.0N,33.0W,1012,30.0,-33.0
219,Danielle,1992,55,Danielle_1992,366,19920922,1200,TD,32.5N,74.6W,1009,32.08,-74.1
289,Earl,1992,55,Earl_1992,367,19920926,1800,TD,26.2N,69.1W,1009,26.03,-69.02
418,Frances,1992,75,Frances_1992,368,19921022,1200,EX,26.3N,60.8W,1009,26.05,-60.13
61,Arlene,1993,35,Arlene_1993,369,19930618,0,TD,20.5N,91.9W,1006,20.08,-91.15
139,Bret,1993,50,Bret_1993,370,19930804,1200,TD,10.4N,40.3W,1010,10.07,-40.05
192,Cindy,1993,40,Cindy_1993,371,19930814,1200,TD,14.1N,59.5W,1012,14.02,-59.08
328,Emily,1993,100,Emily_1993,372,19930822,1800,TD,19.9N,52.6W,1020,19.15,-52.1
256,Dennis,1993,45,Dennis_1993,373,19930823,1200,TD,13.6N,30.8W,1010,13.1,-30.13
402,Floyd,1993,70,Floyd_1993,374,19930907,1200,TD,24.7N,67.5W,1012,24.12,-67.08
448,Gert,1993,85,Gert_1993,375,19930914,1800,TD,10.6N,80.7W,1008,10.1,-80.12
495,Harvey,1993,65,Harvey_1993,376,19930918,1800,TD,26.7N,61.8W,1014,26.12,-61.13
9,Alberto,1994,55,Alberto_1994,377,19940630,600,TD,21.7N,83.6W,1011,21.12,-83.1
101,Beryl,1994,50,Beryl_1994,378,19940814,1200,TD,28.7N,87.2W,1013,28.12,-87.03
182,Chris,1994,70,Chris_1994,379,19940816,1200,TD,11.3N,39.4W,1010,11.05,-39.07
243,Debby,1994,60,Debby_1994,380,19940909,1200,TD,13.1N,56.8W,1011,13.02,-56.13
348,Ernesto,1994,50,Ernesto_1994,381,19940921,1800,TD,10.1N,29.9W,1010,10.02,-29.15
393,Florence,1994,95,Florence_1994,382,19941102,0,SD,22.7N,47.0W,1011,22.12,-47.0
468,Gordon,1994,75,Gordon_1994,383,19941108,1200,TD,11.9N,82.3W,1009,11.15,-82.05
26,Allison,1995,65,Allison_1995,384,19950603,0,TD,17.4N,84.3W,1005,17.07,-84.05
81,Barry,1995,60,Barry_1995,385,19950705,600,TD,32.0N,72.0W,1019,32.0,-72.0
164,Chantal,1995,60,Chantal_1995,386,19950712,0,TD,17.1N,54.9W,1012,17.02,-54.15
234,Dean,1995,40,Dean_1995,387,19950728,1800,TD,26.2N,86.6W,1009,26.03,-86.1
341,Erin,1995,85,Erin_1995,388,19950731,0,TS,22.3N,73.2W,1004,22.05,-73.03
371,Felix,1995,120,Felix_1995,389,19950808,0,TD,14.3N,30.8W,1010,14.05,-30.13
430,Gabrielle,1995,60,Gabrielle_1995,390,19950809,1800,TD,23.7N,94.8W,1007,23.12,-94.13
533,Humberto,1995,95,Humberto_1995,391,19950822,0,TD,13.2N,33.0W,1009,13.03,-33.0
558,Iris,1995,95,Iris_1995,392,19950822,1200,TD,13.2N,49.3W,1008,13.03,-49.05
588,Jerry,1995,35,Jerry_1995,393,19950822,1800,TD,23.7N,78.7W,1010,23.12,-78.12
619,Karen,1995,45,Karen_1995,394,19950826,1200,TD,15.4N,32.7W,1009,15.07,-32.12
675,Luis,1995,130,Luis_1995,395,19950828,1800,TD,11.4N,27.5W,1008,11.07,-27.08
682,Marilyn,1995,100,Marilyn_1995,396,19950912,1800,TD,11.7N,50.9W,1006,11.12,-50.15
713,Noel,1995,65,Noel_1995,397,19950926,1800,TD,10.4N,37.7W,1007,10.07,-37.12
722,Opal,1995,130,Opal_1995,398,19950927,1800,TD,19.1N,87.3W,1004,19.02,-87.05
731,Pablo,1995,50,Pablo_1995,399,19951004,1800,TD,8.3N,31.4W,1009,8.05,-31.07
746,Roxanne,1995,100,Roxanne_1995,400,19951007,1800,TD,14.0N,82.1W,1005,14.0,-82.02
749,Sebastien,1995,55,Sebastien_1995,401,19951020,1200,TD,13.8N,53.8W,1006,13.13,-53.13
755,Tanya,1995,75,Tanya_1995,402,19951027,0,TD,24.6N,59.2W,1004,24.1,-59.03
68,Arthur,1996,45,Arthur_1996,403,19960617,1800,TD,26.8N,77.8W,1010,26.13,-77.13
95,Bertha,1996,100,Bertha_1996,404,19960705,0,TD,9.8N,34.0W,1009,9.13,-34.0
161,Cesar,1996,75,Cesar_1996,405,19960724,1800,TD,11.8N,62.6W,1009,11.13,-62.1
269,Dolly,1996,70,Dolly_1996,406,19960819,600,TD,17.3N,80.2W,1009,17.05,-80.03
307,Edouard,1996,125,Edouard_1996,407,19960819,1800,TD,12.4N,19.9W,1007,12.07,-19.15
411,Fran,1996,105,Fran_1996,408,19960823,1200,TD,14.0N,21.0W,1012,14.0,-21.0
485,Gustav,1996,40,Gustav_1996,409,19960826,0,TD,12.7N,23.0W,1008,12.12,-23.0
529,Hortense,1996,120,Hortense_1996,410,19960903,1200,TD,14.9N,41.0W,1006,14.15,-41.0
572,Isidore,1996,100,Isidore_1996,411,19960924,1200,TD,8.6N,23.3W,1008,8.1,-23.05
604,Josephine,1996,60,Josephine_1996,412,19961004,1800,TD,22.7N,96.2W,1003,22.12,-96.03
647,Kyle,1996,45,Kyle_1996,413,19961011,1200,TD,17.3N,86.5W,1006,17.05,-86.08
663,Lili,1996,100,Lili_1996,414,19961014,1200,TD,12.8N,80.4W,1006,12.13,-80.07
677,Marco,1996,65,Marco_1996,415,19961113,1200,LO,10.5N,77.5W,1009,10.08,-77.08
40,Ana,1997,40,Ana_1997,416,19970630,1200,TD,32.0N,77.2W,1013,32.0,-77.03
116,Bill,1997,65,Bill_1997,417,19970711,600,TD,30.4N,69.9W,1014,30.07,-69.15
201,Claudette,1997,40,Claudette_1997,418,19970713,0,EX,31.3N,73.6W,1012,31.05,-73.1
226,Danny,1997,70,Danny_1997,419,19970716,1200,TD,27.4N,92.6W,1013,27.07,-92.1
336,Erika,1997,110,Erika_1997,420,19970903,600,TD,10.9N,44.1W,1006,10.15,-44.02
362,Fabian,1997,40,Fabian_1997,421,19971004,1800,TD,24.2N,64.5W,1009,24.03,-64.08
474,Grace,1997,40,Grace_1997,422,19971014,1200,TD,20.0N,68.7W,1002,20.0,-68.12
14,Alex,1998,45,Alex_1998,423,19980727,1200,TD,11.3N,25.4W,1009,11.05,-25.07
128,Bonnie,1998,100,Bonnie_1998,424,19980819,1200,TD,14.7N,48.1W,1009,14.12,-48.02
172,Charley,1998,60,Charley_1998,425,19980821,600,TD,25.3N,92.3W,1008,25.05,-92.05
220,Danielle,1998,90,Danielle_1998,426,19980824,600,TD,13.4N,34.3W,1007,13.07,-34.05
290,Earl,1998,85,Earl_1998,427,19980831,1200,TD,21.6N,93.5W,1005,21.1,-93.08
419,Frances,1998,55,Frances_1998,428,19980908,1800,TD,25.5N,94.5W,1000,25.08,-94.08
443,Georges,1998,135,Georges_1998,429,19980915,1200,TD,9.7N,25.1W,1009,9.12,-25.02
518,Hermine,1998,40,Hermine_1998,430,19980917,1200,TD,26.9N,90.3W,1001,26.15,-90.05
577,Ivan,1998,80,Ivan_1998,431,19980919,0,TD,13.4N,26.6W,1010,13.07,-26.1
583,Jeanne,1998,90,Jeanne_1998,432,19980921,600,TD,9.6N,17.4W,1008,9.1,-17.07
625,Karl,1998,90,Karl_1998,433,19980923,1200,TD,33.3N,65.4W,1003,33.05,-65.07
665,Lisa,1998,65,Lisa_1998,434,19981005,0,TD,13.9N,46.4W,1008,13.15,-46.07
696,Mitch,1998,155,Mitch_1998,435,19981022,0,TD,11.6N,76.1W,1002,11.1,-76.02
707,Nicole,1998,75,Nicole_1998,436,19981124,0,TD,28.3N,28.0W,1010,28.05,-28.0
62,Arlene,1999,50,Arlene_1999,437,19990611,1800,TD,27.1N,58.1W,1010,27.02,-58.02
140,Bret,1999,125,Bret_1999,438,19990818,1800,TD,19.5N,94.4W,1010,19.08,-94.07
193,Cindy,1999,120,Cindy_1999,439,19990819,0,TD,13.5N,18.9W,1003,13.08,-18.15
257,Dennis,1999,90,Dennis_1999,440,19990824,0,TD,21.5N,67.7W,1009,21.08,-67.12
329,Emily,1999,45,Emily_1999,441,19990824,600,TD,11.5N,53.6W,1007,11.08,-53.1
403,Floyd,1999,135,Floyd_1999,442,19990907,1800,TD,14.6N,45.6W,1008,14.1,-45.1
449,Gert,1999,130,Gert_1999,443,19990911,1200,TD,12.6N,24.2W,1006,12.1,-24.03
496,Harvey,1999,50,Harvey_1999,444,19990919,600,TD,25.0N,87.8W,1005,25.0,-87.13
554,Irene,1999,95,Irene_1999,445,19991012,1200,LO,15.9N,82.0W,1006,15.15,-82.0
598,Jose,1999,85,Jose_1999,446,19991017,1800,TD,9.8N,50.8W,1006,9.13,-50.13
636,Katrina,1999,35,Katrina_1999,447,19991028,1800,TD,11.4N,80.9W,1001,11.07,-80.15
657,Lenny,1999,135,Lenny_1999,448,19991113,1800,TD,16.7N,81.6W,1003,16.12,-81.1
10,Alberto,2000,110,Alberto_2000,449,20000803,1800,TD,10.8N,18.0W,1007,10.13,-18.0
102,Beryl,2000,45,Beryl_2000,450,20000813,1800,TD,22.5N,93.5W,1008,22.08,-93.08
183,Chris,2000,35,Chris_2000,451,20000817,1200,TD,14.2N,51.9W,1009,14.03,-51.15
244,Debby,2000,75,Debby_2000,452,20000819,1800,TD,12.0N,44.5W,1010,12.0,-44.08
349,Ernesto,2000,35,Ernesto_2000,453,20000901,1200,TD,14.8N,45.2W,1009,14.13,-45.03
394,Florence,2000,70,Florence_2000,454,20000910,1800,SD,30.9N,70.9W,1007,30.15,-70.15
469,Gordon,2000,70,Gordon_2000,455,20000914,1200,TD,19.8N,87.3W,1008,19.13,-87.05
508,Helene,2000,60,Helene_2000,456,20000915,1200,TD,14.9N,52.2W,1010,14.15,-52.03
563,Isaac,2000,120,Isaac_2000,457,20000921,1200,TD,11.5N,23.0W,1008,11.08,-23.0
607,Joyce,2000,80,Joyce_2000,458,20000925,1200,TD,11.2N,29.6W,1009,11.03,-29.1
639,Keith,2000,120,Keith_2000,459,20000928,1800,TD,16.1N,82.9W,1005,16.02,-82.15
658,Leslie,2000,60,Leslie_2000,460,20001004,1200,SD,29.0N,81.4W,1012,29.0,-81.07
690,Michael,2000,85,Michael_2000,461,20001015,1200,SD,30.0N,71.2W,1007,30.0,-71.03
697,Nadine,2000,50,Nadine_2000,462,20001019,1200,TD,26.2N,59.9W,1009,26.03,-59.15
27,Allison,2001,50,Allison_2001,463,20010605,1200,TS,27.5N,95.0W,1007,27.08,-95.0
82,Barry,2001,60,Barry_2001,464,20010802,1200,TD,25.7N,84.8W,1011,25.12,-84.13
165,Chantal,2001,60,Chantal_2001,465,20010814,1800,TD,12.8N,37.0W,1010,12.13,-37.0
235,Dean,2001,60,Dean_2001,466,20010822,1200,TS,17.9N,64.3W,1010,17.15,-64.05
342,Erin,2001,105,Erin_2001,467,20010901,1800,TD,12.5N,34.3W,1006,12.08,-34.05
372,Felix,2001,100,Felix_2001,468,20010907,1800,TD,13.9N,28.4W,1008,13.15,-28.07
431,Gabrielle,2001,70,Gabrielle_2001,469,20010911,1800,TD,25.8N,84.1W,1010,25.13,-84.02
534,Humberto,2001,90,Humberto_2001,470,20010921,1200,TD,25.1N,64.2W,1012,25.02,-64.03
559,Iris,2001,125,Iris_2001,471,20011004,1200,TD,12.3N,58.2W,1011,12.05,-58.03
589,Jerry,2001,45,Jerry_2001,472,20011006,1200,TD,10.6N,50.6W,1008,10.1,-50.1
620,Karen,2001,70,Karen_2001,473,20011011,600,EX,27.5N,63.0W,1009,27.08,-63.0
670,Lorenzo,2001,35,Lorenzo_2001,474,20011027,1200,TD,27.2N,34.9W,1010,27.03,-34.15
693,Michelle,2001,120,Michelle_2001,475,20011029,1800,TD,13.3N,83.6W,1004,13.05,-83.1
714,Noel,2001,65,Noel_2001,476,20011104,0,SS,33.9N,50.4W,988,33.15,-50.07
717,Olga,2001,80,Olga_2001,477,20011123,600,EX,30.5N,51.0W,1003,30.08,-51.0
69,Arthur,2002,50,Arthur_2002,478,20020714,1800,TD,34.3N,76.8W,1009,34.05,-76.13
96,Bertha,2002,35,Bertha_2002,479,20020804,1800,TD,29.0N,88.5W,1012,29.0,-88.08
212,Cristobal,2002,45,Cristobal_2002,480,20020805,1800,TD,32.0N,77.2W,1008,32.0,-77.03
270,Dolly,2002,50,Dolly_2002,481,20020829,1200,TD,9.5N,31.2W,1007,9.08,-31.03
308,Edouard,2002,55,Edouard_2002,482,20020901,1800,TD,29.2N,78.8W,1013,29.03,-78.13
365,Fay,2002,50,Fay_2002,483,20020905,1800,TD,28.0N,93.8W,1009,28.0,-93.13
486,Gustav,2002,85,Gustav_2002,484,20020908,1200,SD,29.0N,71.0W,1009,29.0,-71.0
490,Hanna,2002,50,Hanna_2002,485,20020912,0,TD,26.3N,86.6W,1001,26.05,-86.1
573,Isidore,2002,110,Isidore_2002,486,20020914,1800,TD,10.0N,60.5W,1009,10.0,-60.08
605,Josephine,2002,50,Josephine_2002,487,20020917,1200,TD,32.7N,52.4W,1016,32.12,-52.07
648,Kyle,2002,75,Kyle_2002,488,20020920,1800,SD,28.3N,51.8W,1007,28.05,-51.13
664,Lili,2002,125,Lili_2002,489,20020921,1800,TD,10.2N,44.6W,1009,10.03,-44.1
41,Ana,2003,50,Ana_2003,490,20030418,0,EX,29.1N,66.2W,1008,29.02,-66.03
117,Bill,2003,50,Bill_2003,491,20030628,600,LO,19.5N,89.0W,1009,19.08,-89.0
202,Claudette,2003,80,Claudette_2003,492,20030707,0,WV,11.1N,53.5W,1010,11.02,-53.08
227,Danny,2003,65,Danny_2003,493,20030716,1200,TD,30.8N,54.1W,1017,30.13,-54.02
337,Erika,2003,65,Erika_2003,494,20030814,1800,TS,26.4N,83.3W,1011,26.07,-83.05
363,Fabian,2003,125,Fabian_2003,495,20030827,1800,TD,14.6N,30.7W,1009,14.1,-30.12
475,Grace,2003,35,Grace_2003,496,20030830,1200,TD,24.3N,92.4W,1008,24.05,-92.07
514,Henri,2003,50,Henri_2003,497,20030903,1800,TD,27.4N,87.7W,1013,27.07,-87.12
568,Isabel,2003,145,Isabel_2003,498,20030906,0,TD,13.8N,31.4W,1009,13.13,-31.07
611,Juan,2003,90,Juan_2003,499,20030924,1200,TD,28.2N,62.4W,1009,28.03,-62.07
630,Kate,2003,110,Kate_2003,500,20030925,1800,TD,11.8N,37.7W,1008,11.13,-37.12
650,Larry,2003,55,Larry_2003,501,20030927,1800,LO,18.5N,84.7W,1009,18.08,-84.12
695,Mindy,2003,40,Mindy_2003,502,20031010,1800,TS,19.1N,68.8W,1004,19.02,-68.13
706,Nicholas,2003,60,Nicholas_2003,503,20031013,0,TD,9.5N,37.0W,1009,9.08,-37.0
716,Odette,2003,55,Odette_2003,504,20031204,1200,TD,12.9N,76.2W,1005,12.15,-76.03
736,Peter,2003,60,Peter_2003,505,20031207,1800,SS,27.5N,34.5W,1005,27.08,-34.08
15,Alex,2004,105,Alex_2004,506,20040731,1800,TD,30.3N,78.3W,1010,30.05,-78.05
129,Bonnie,2004,55,Bonnie_2004,507,20040803,1200,TD,12.9N,53.6W,1010,12.15,-53.1
173,Charley,2004,130,Charley_2004,508,20040809,1200,TD,11.4N,59.2W,1010,11.07,-59.03
221,Danielle,2004,95,Danielle_2004,509,20040813,1200,TD,12.3N,21.8W,1009,12.05,-21.13
291,Earl,2004,45,Earl_2004,510,20040813,1800,TD,9.0N,45.6W,1011,9.0,-45.1
420,Frances,2004,125,Frances_2004,511,20040825,0,TD,11.1N,35.2W,1009,11.02,-35.03
437,Gaston,2004,65,Gaston_2004,512,20040827,1200,TD,31.8N,78.1W,1015,31.13,-78.02
519,Hermine,2004,50,Hermine_2004,513,20040827,1800,TD,29.0N,65.2W,1016,29.0,-65.03
578,Ivan,2004,145,Ivan_2004,514,20040902,1800,TD,9.7N,27.6W,1009,9.12,-27.1
584,Jeanne,2004,105,Jeanne_2004,515,20040913,1800,TD,15.9N,60.0W,1010,15.15,-60.0
626,Karl,2004,125,Karl_2004,516,20040916,600,TD,11.2N,29.2W,1008,11.03,-29.03
