,name,year,hurricane_id,time,status,max_wind,air_pressure,latitude,longitude,norm_damage_usd,damage_usd,name_year
17755,Katrina,2005,532,0,HU,140,992,27.03,-89.03,116,125,Katrina_2005
17785,Katrina,2005,532,0,HU,90,1005,24.1,-83.05,116,125,Katrina_2005
17780,Katrina,2005,532,2230,HU,70,1011,26.0,-80.02,116,125,Katrina_2005
17772,Katrina,2005,532,1200,HU,100,0,24.07,-84.12,116,125,Katrina_2005
17771,Katrina,2005,532,1800,TD,30,989,23.02,-75.02,116,125,Katrina_2005
17782,Katrina,2005,532,600,HU,65,979,25.07,-81.05,116,125,Katrina_2005
17758,Katrina,2005,532,1200,HU,110,978,29.08,-89.1,116,125,Katrina_2005
17779,Katrina,2005,532,1800,TS,60,973,26.03,-79.1,116,125,Katrina_2005
17777,Katrina,2005,532,600,TS,50,1010,26.02,-78.07,116,125,Katrina_2005
17753,Katrina,2005,532,600,HU,125,0,25.03,-86.12,116,125,Katrina_2005
17774,Katrina,2005,532,1200,TS,35,1007,24.08,-76.08,116,125,Katrina_2005
17773,Katrina,2005,532,600,TD,30,1002,23.13,-76.03,116,125,Katrina_2005
17764,Katrina,2005,532,1800,TD,30,1005,37.0,-87.0,116,125,Katrina_2005
17760,Katrina,2005,532,1800,HU,80,990,31.02,-89.1,116,125,Katrina_2005
17778,Katrina,2005,532,0,TD,30,1001,23.07,-75.12,116,125,Katrina_2005
17768,Katrina,2005,532,1800,HU,100,977,24.08,-85.05,116,125,Katrina_2005
17767,Katrina,2005,532,0,HU,100,0,24.13,-85.15,116,125,Katrina_2005
17770,Katrina,2005,532,600,HU,95,999,24.07,-84.0,116,125,Katrina_2005
17766,Katrina,2005,532,600,EX,25,1008,40.02,-82.15,116,125,Katrina_2005
17759,Katrina,2005,532,1445,HU,105,0,30.03,-89.1,116,125,Katrina_2005
17761,Katrina,2005,532,0,TS,50,0,32.1,-89.02,116,125,Katrina_2005
17765,Katrina,2005,532,0,EX,30,976,38.1,-85.05,116,125,Katrina_2005
17786,Katrina,2005,532,1200,TS,55,976,26.03,-79.0,116,125,Katrina_2005
17781,Katrina,2005,532,0,HU,70,1009,25.15,-80.05,116,125,Katrina_2005
17763,Katrina,2005,532,1200,TD,30,999,35.1,-88.0,116,125,Katrina_2005
17757,Katrina,2005,532,1110,HU,110,1001,29.05,-89.1,116,125,Katrina_2005
17769,Katrina,2005,532,1800,HU,150,0,26.05,-88.1,116,125,Katrina_2005
17756,Katrina,2005,532,600,HU,125,0,28.03,-89.1,116,125,Katrina_2005
17754,Katrina,2005,532,1200,HU,145,0,25.12,-87.12,116,125,Katrina_2005
17776,Katrina,2005,532,0,TS,45,950,26.0,-77.12,116,125,Katrina_2005
17762,Katrina,2005,532,600,TS,40,998,34.02,-88.1,116,125,Katrina_2005
17784,Katrina,2005,532,1800,HU,85,0,24.15,-82.1,116,125,Katrina_2005
17783,Katrina,2005,532,1200,HU,75,1009,25.02,-82.0,116,125,Katrina_2005
17775,Katrina,2005,532,1800,TS,40,1007,25.07,-76.15,116,125,Katrina_2005
11938,Andrew,1992,363,1800,HU,125,0,27.13,-89.1,106,27,Andrew_1992
11951,Andrew,1992,363,600,TS,45,1007,17.03,-55.05,106,27,Andrew_1992
11931,Andrew,1992,363,0,TS,35,977,31.08,-91.02,106,27,Andrew_1992
11935,Andrew,1992,363,0,TD,20,1002,34.07,-86.12,106,27,Andrew_1992
11953,Andrew,1992,363,0,TS,40,1002,13.1,-46.03,106,27,Andrew_1992
11950,Andrew,1992,363,0,TS,45,993,16.05,-53.08,106,27,Andrew_1992
11947,Andrew,1992,363,600,TS,45,995,14.02,-48.0,106,27,Andrew_1992
11955,Andrew,1992,363,1800,TS,45,993,18.13,-58.05,106,27,Andrew_1992
11914,Andrew,1992,363,0,HU,115,997,26.03,-85.0,106,27,Andrew_1992
11959,Andrew,1992,363,1200,TS,50,991,24.07,-64.03,106,27,Andrew_1992
11936,Andrew,1992,363,600,TD,20,960,35.07,-84.0,106,27,Andrew_1992
11949,Andrew,1992,363,1800,TS,45,1007,15.07,-51.13,106,27,Andrew_1992
11948,Andrew,1992,363,1200,TS,45,1008,14.1,-49.15,106,27,Andrew_1992
11952,Andrew,1992,363,1200,TS,45,1005,18.0,-56.15,106,27,Andrew_1992
11928,Andrew,1992,363,600,HU,120,0,29.03,-91.05,106,27,Andrew_1992
11958,Andrew,1992,363,0,TS,55,1008,25.05,-65.15,106,27,Andrew_1992
11926,Andrew,1992,363,830,HU,100,0,29.1,-91.08,106,27,Andrew_1992
11922,Andrew,1992,363,2100,HU,140,0,25.07,-76.1,106,27,Andrew_1992
11960,Andrew,1992,363,1800,TS,50,975,24.13,-64.15,106,27,Andrew_1992
11923,Andrew,1992,363,1800,HU,150,0,25.07,-75.13,106,27,Andrew_1992
11917,Andrew,1992,363,905,HU,145,0,25.08,-80.05,106,27,Andrew_1992
11945,Andrew,1992,363,1200,TS,35,1005,12.05,-42.0,106,27,Andrew_1992
11934,Andrew,1992,363,1800,TD,25,995,33.1,-88.07,106,27,Andrew_1992
11932,Andrew,1992,363,600,TD,30,933,32.02,-90.08,106,27,Andrew_1992
11933,Andrew,1992,363,1200,TD,30,1005,32.13,-89.1,106,27,Andrew_1992
11916,Andrew,1992,363,1200,HU,115,0,25.1,-81.03,106,27,Andrew_1992
11957,Andrew,1992,363,600,HU,65,960,25.1,-67.0,106,27,Andrew_1992
11925,Andrew,1992,363,1200,HU,120,1000,27.03,-88.03,106,27,Andrew_1992
11946,Andrew,1992,363,1800,TS,35,991,13.02,-44.03,106,27,Andrew_1992
11961,Andrew,1992,363,600,TS,45,977,23.15,-63.05,106,27,Andrew_1992
11937,Andrew,1992,363,1200,HU,145,0,25.07,-74.03,106,27,Andrew_1992
11940,Andrew,1992,363,600,TD,30,993,11.12,-39.1,106,27,Andrew_1992
11943,Andrew,1992,363,0,TD,30,1008,11.03,-37.07,106,27,Andrew_1992
11929,Andrew,1992,363,1200,HU,80,988,30.02,-91.12,106,27,Andrew_1992
11941,Andrew,1992,363,1800,HU,95,0,25.12,-69.12,106,27,Andrew_1992
11942,Andrew,1992,363,1800,TD,25,974,10.13,-35.08,106,27,Andrew_1992
11954,Andrew,1992,363,0,TS,40,958,19.13,-59.05,106,27,Andrew_1992
11920,Andrew,1992,363,100,HU,130,964,25.07,-77.13,106,27,Andrew_1992
11919,Andrew,1992,363,600,HU,130,1006,25.07,-79.05,106,27,Andrew_1992
11965,Andrew,1992,363,600,TS,40,1008,20.12,-60.0,106,27,Andrew_1992
11927,Andrew,1992,363,0,HU,125,0,28.08,-90.08,106,27,Andrew_1992
11962,Andrew,1992,363,0,TS,45,981,23.03,-62.07,106,27,Andrew_1992
11963,Andrew,1992,363,1800,TS,40,1003,22.08,-61.08,106,27,Andrew_1992
11964,Andrew,1992,363,1200,TS,40,963,21.12,-60.12,106,27,Andrew_1992
11915,Andrew,1992,363,1800,HU,115,0,25.13,-83.02,106,27,Andrew_1992
