,date,name,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year
18755,19980819,Bonnie,1200,TD,14.7N,48.1W,25,1009,14.12,-48.02,1998
18804,19980821,Charley,600,TD,25.3N,92.3W,25,1008,25.05,-92.05,1998
18817,19980824,Danielle,600,TD,13.4N,34.3W,25,1007,13.07,-34.05,1998
18878,19980831,Earl,1200,TD,21.6N,93.5W,30,1005,21.1,-93.08,1998
18911,19980908,Frances,1800,TD,25.5N,94.5W,30,1000,25.08,-94.08,1998
18932,19980915,Georges,1200,TD,9.7N,25.1W,30,1009,9.12,-25.02,1998
19003,19980917,Hermine,1200,TD,26.9N,90.3W,30,1001,26.15,-90.05,1998
19018,19980919,Ivan,0,TD,13.4N,26.6W,25,1010,13.07,-26.1,1998
19054,19980921,Jeanne,600,TD,9.6N,17.4W,30,1008,9.1,-17.07,1998
19108,19980923,Karl,1200,TD,33.3N,65.4W,25,1003,33.05,-65.07,1998
19134,19981005,Lisa,0,TD,13.9N,46.4W,30,1008,13.15,-46.07,1998
19155,19981022,Mitch,0,TD,11.6N,76.1W,30,1002,11.1,-76.02,1998
19233,19981124,Nicole,0,TD,28.3N,28.0W,30,1010,28.05,-28.0,1998
19268,19990611,Arlene,1800,TD,27.1N,58.1W,30,1010,27.02,-58.02,1999
19298,19990818,Bret,1800,TD,19.5N,94.4W,30,1010,19.08,-94.07,1999
19324,19990819,Cindy,0,TD,13.5N,18.9W,30,1003,13.08,-18.15,1999
19375,19990824,Dennis,0,TD,21.5N,67.7W,30,1009,21.08,-67.12,1999
19441,19990824,Emily,600,TD,11.5N,53.6W,30,1007,11.08,-53.1,1999
19467,19990907,Floyd,1800,TD,14.6N,45.6W,25,1008,14.1,-45.1,1999
19517,19990911,Gert,1200,TD,12.6N,24.2W,30,1006,12.1,-24.03,1999
19566,19990919,Harvey,600,TD,25.0N,87.8W,30,1005,25.0,-87.13,1999
19602,19991012,Irene,1200,LO,15.9N,82.0W,20,1006,15.15,-82.0,1999
19636,19991017,Jose,1800,TD,9.8N,50.8W,25,1006,9.13,-50.13,1999
19670,19991028,Katrina,1800,TD,11.4N,80.9W,30,1001,11.07,-80.15,1999
19686,19991113,Lenny,1800,TD,16.7N,81.6W,30,1003,16.12,-81.1,1999
19741,20000803,Alberto,1800,TD,10.8N,18.0W,25,1007,10.13,-18.0,2000
19841,20000813,Beryl,1800,TD,22.5N,93.5W,30,1008,22.08,-93.08,2000
19850,20000817,Chris,1200,TD,14.2N,51.9W,25,1009,14.03,-51.15,2000
19859,20000819,Debby,1800,TD,12.0N,44.5W,30,1010,12.0,-44.08,2000
19882,20000901,Ernesto,1200,TD,14.8N,45.2W,25,1009,14.13,-45.03,2000
19898,20000910,Florence,1800,SD,30.9N,70.9W,30,1007,30.15,-70.15,2000
19927,20000914,Gordon,1200,TD,19.8N,87.3W,25,1008,19.13,-87.05,2000
19956,20000915,Helene,1200,TD,14.9N,52.2W,25,1010,14.15,-52.03,2000
19998,20000921,Isaac,1200,TD,11.5N,23.0W,30,1008,11.08,-23.0,2000
20050,20000925,Joyce,1200,TD,11.2N,29.6W,25,1009,11.03,-29.1,2000
20078,20000928,Keith,1800,TD,16.1N,82.9W,25,1005,16.02,-82.15,2000
20113,20001004,Leslie,1200,SD,29.0N,81.4W,30,1012,29.0,-81.07,2000
20139,20001015,Michael,1200,SD,30.0N,71.2W,30,1007,30.0,-71.03,2000
20161,20001019,Nadine,1200,TD,26.2N,59.9W,25,1009,26.03,-59.15,2000
20194,20010605,Allison,1200,TS,27.5N,95.0W,40,1007,27.08,-95.0,2001
20256,20010802,Barry,1200,TD,25.7N,84.8W,30,1011,25.12,-84.13,2001
20281,20010814,Chantal,1800,TD,12.8N,37.0W,25,1010,12.13,-37.0,2001
20314,20010822,Dean,1200,TS,17.9N,64.3W,45,1010,17.15,-64.05,2001
20343,20010901,Erin,1800,TD,12.5N,34.3W,30,1006,12.08,-34.05,2001
20405,20010907,Felix,1800,TD,13.9N,28.4W,30,1008,13.15,-28.07,2001
20451,20010911,Gabrielle,1800,TD,25.8N,84.1W,25,1010,25.13,-84.02,2001
20496,20010921,Humberto,1200,TD,25.1N,64.2W,25,1012,25.02,-64.03,2001
20522,20011004,Iris,1200,TD,12.3N,58.2W,25,1011,12.05,-58.03,2001
20544,20011006,Jerry,1200,TD,10.6N,50.6W,25,1008,10.1,-50.1,2001
20554,20011011,Karen,600,EX,27.5N,63.0W,30,1009,27.08,-63.0,2001
20573,20011027,Lorenzo,1200,TD,27.2N,34.9W,30,1010,27.03,-34.15,2001
20589,20011029,Michelle,1800,TD,13.3N,83.6W,30,1004,13.05,-83.1,2001
20624,20011104,Noel,0,SS,33.9N,50.4W,45,988,33.15,-50.07,2001
20636,20011123,Olga,600,EX,30.5N,51.0W,25,1003,30.08,-51.0,2001
20683,20020714,Arthur,1800,TD,34.3N,76.8W,30,1009,34.05,-76.13,2002
20703,20020804,Bertha,1800,TD,29.0N,88.5W,25,1012,29.0,-88.08,2002
20726,20020805,Cristobal,1800,TD,32.0N,77.2W,30,1008,32.0,-77.03,2002
20739,20020829,Dolly,1200,TD,9.5N,31.2W,30,1007,9.08,-31.03,2002
20765,20020901,Edouard,1800,TD,29.2N,78.8W,30,1013,29.03,-78.13,2002
20786,20020905,Fay,1800,TD,28.0N,93.8W,30,1009,28.0,-93.13,2002
20814,20020908,Gustav,1200,SD,29.0N,71.0W,30,1009,29.0,-71.0,2002
20844,20020912,Hanna,0,TD,26.3N,86.6W,30,1001,26.05,-86.1,2002
20861,20020914,Isidore,1800,TD,10.0N,60.5W,25,1009,10.0,-60.08,2002
20916,20020917,Josephine,1200,TD,32.7N,52.4W,30,1016,32.12,-52.07,2002
20925,20020920,Kyle,1800,SD,28.3N,51.8W,25,1007,28.05,-51.13,2002
21015,20020921,Lili,1800,TD,10.2N,44.6W,25,1009,10.03,-44.1,2002
21083,20030418,Ana,0,EX,29.1N,66.2W,30,1008,29.02,-66.03,2003
21126,20030628,Bill,600,LO,19.5N,89.0W,20,1009,19.08,-89.0,2003
21147,20030707,Claudette,0,WV,11.1N,53.5W,25,1010,11.02,-53.08,2003
21192,20030716,Danny,1200,TD,30.8N,54.1W,25,1017,30.13,-54.02,2003
21251,20030814,Erika,1800,TS,26.4N,83.3W,35,1011,26.07,-83.05,2003
21266,20030827,Fabian,1800,TD,14.6N,30.7W,25,1009,14.1,-30.12,2003
21319,20030830,Grace,1200,TD,24.3N,92.4W,30,1008,24.05,-92.07,2003
21332,20030903,Henri,1800,TD,27.4N,87.7W,25,1013,27.07,-87.12,2003
21354,20030906,Isabel,0,TD,13.8N,31.4W,30,1009,13.13,-31.07,2003
21422,20030924,Juan,1200,TD,28.2N,62.4W,25,1009,28.03,-62.07,2003
21444,20030925,Kate,1800,TD,11.8N,37.7W,30,1008,11.13,-37.12,2003
21502,20030927,Larry,1800,LO,18.5N,84.7W,15,1009,18.08,-84.12,2003
21544,20031010,Mindy,1800,TS,19.1N,68.8W,40,1004,19.02,-68.13,2003
21558,20031013,Nicholas,0,TD,9.5N,37.0W,25,1009,9.08,-37.0,2003
21638,20031204,Odette,1200,TD,12.9N,76.2W,30,1005,12.15,-76.03,2003
21661,20031207,Peter,1800,SS,27.5N,34.5W,40,1005,27.08,-34.08,2003
21676,20040731,Alex,1800,TD,30.3N,78.3W,25,1010,30.05,-78.05,2004
21701,20040803,Bonnie,1200,TD,12.9N,53.6W,25,1010,12.15,-53.1,2004
21745,20040809,Charley,1200,TD,11.4N,59.2W,30,1010,11.07,-59.03,2004
21775,20040813,Danielle,1200,TD,12.3N,21.8W,30,1009,12.05,-21.13,2004
21821,20040813,Earl,1800,TD,9.0N,45.6W,30,1011,9.0,-45.1,2004
21830,20040825,Frances,0,TD,11.1N,35.2W,25,1009,11.02,-35.03,2004
21905,20040827,Gaston,1200,TD,31.8N,78.1W,25,1015,31.13,-78.02,2004
21933,20040827,Hermine,1800,TD,29.0N,65.2W,25,1016,29.0,-65.03,2004
21949,20040902,Ivan,1800,TD,9.7N,27.6W,25,1009,9.12,-27.1,2004
22056,20040913,Jeanne,1800,TD,15.9N,60.0W,25,1010,15.15,-60.0,2004
22125,20040916,Karl,600,TD,11.2N,29.2W,30,1008,11.03,-29.03,2004
22173,20040919,Lisa,1800,TD,13.3N,32.4W,30,1004,13.05,-32.07,2004
22228,20041008,Matthew,1200,TD,24.0N,95.4W,30,1007,24.0,-95.07,2004
22241,20041010,Nicole,0,EX,30.0N,65.2W,40,1000,30.0,-65.03,2004
22249,20041126,Otto,0,EX,28.0N,40.0W,30,1009,28.0,-40.0,2004
22288,20050608,Arlene,1800,TD,16.9N,84.0W,25,1004,16.15,-84.0,2005
22314,20050628,Bret,1800,TD,19.7N,95.4W,30,1006,19.12,-95.07,2005
22321,20050703,Cindy,1800,TD,18.3N,86.7W,30,1009,18.05,-86.12,2005
22355,20050704,Dennis,1800,TD,12.0N,60.8W,25,1010,12.0,-60.13,2005
22414,20050711,Emily,0,TD,10.7N,42.4W,25,1010,10.12,-42.07,2005
22459,20050721,Franklin,1800,TD,25.0N,75.0W,30,1010,25.0,-75.0,2005
22497,20050723,Gert,1800,TD,19.3N,92.9W,25,1011,19.05,-92.15,2005
22506,20050802,Harvey,1800,TD,28.2N,68.8W,30,1006,28.03,-68.13,2005
22552,20050804,Irene,1800,TD,12.9N,33.5W,25,1009,12.15,-33.08,2005
22608,20050813,Ten,1200,TD,13.3N,43.6W,25,1009,13.05,-43.1,2005
22629,20050822,Jose,1200,TD,19.4N,94.5W,30,1006,19.07,-94.08,2005
22635,20050823,Katrina,1800,TD,23.1N,75.1W,30,1008,23.02,-75.02,2005
22669,20050828,Lee,1200,TD,14.0N,45.1W,25,1009,14.0,-45.02,2005
22695,20050901,Maria,1200,TD,18.8N,45.5W,30,1008,18.13,-45.08,2005
22746,20050905,Nate,1800,TD,28.4N,67.0W,30,1008,28.07,-67.0,2005
22775,20050906,Ophelia,600,TD,25.8N,78.6W,25,1009,25.13,-78.1,2005
22844,20050917,Philippe,1200,TD,13.3N,54.5W,30,1008,13.05,-54.08,2005
22872,20050918,Rita,0,TD,21.3N,69.9W,25,1009,21.05,-69.15,2005
22908,20050930,Nineteen,1200,TD,11.8N,32.7W,25,1009,11.13,-32.12,2005
22917,20051001,Stan,1200,TD,18.9N,85.6W,25,1007,18.15,-85.1,2005
22941,20051005,Tammy,600,TS,27.3N,79.7W,35,1006,27.05,-79.12,2005
22950,20051008,Twenty-Two,600,SD,26.1N,57.4W,30,1009,26.02,-57.07,2005
22977,20051008,Vince,600,SS,32.9N,20.6W,40,1001,32.15,-20.1,2005
22992,20051015,Wilma,1800,TD,17.6N,78.5W,25,1004,17.1,-78.08,2005
23040,20051022,Alpha,1200,TD,15.8N,67.5W,30,1007,15.13,-67.08,2005
23051,20051026,Beta,1800,TD,10.4N,80.9W,30,1007,10.07,-80.15,2005
23069,20051114,Gamma,0,TD,13.2N,62.1W,30,1007,13.03,-62.02,2005
23102,20051119,Delta,1200,EX,27.0N,48.0W,25,1010,27.0,-48.0,2005
23144,20051129,Epsilon,600,TS,31.5N,49.2W,45,993,31.08,-49.03,2005
23187,20051230,Zeta,0,TD,23.9N,35.6W,30,1009,23.15,-35.1,2005
23195,20060101,Zeta,0,TS,25.6N,38.3W,50,997,25.1,-38.05,2006
23223,20060610,Alberto,600,TD,20.0N,85.0W,25,1004,20.0,-85.0,2006
23274,20060718,Beryl,1200,TD,32.3N,73.3W,30,1010,32.05,-73.05,2006
23292,20060801,Chris,0,TD,16.3N,58.1W,30,1011,16.05,-58.02,2006
23315,20060821,Debby,1800,TD,11.6N,21.7W,30,1007,11.1,-21.12,2006
23341,20060824,Ernesto,1800,TD,12.7N,61.6W,30,1008,12.12,-61.1,2006
23388,20060903,Florence,1800,TD,14.1N,39.4W,30,1007,14.02,-39.07,2006
23450,20060910,Gordon,1800,TD,20.2N,53.8W,25,1012,20.03,-53.13,2006
23507,20060912,Helene,1200,TD,11.9N,22.0W,25,1007,11.15,-22.0,2006
23569,20060927,Isaac,1800,TD,26.1N,52.6W,30,1012,26.02,-52.1,2006
23593,20070506,Andrea,1200,EX,35.5N,74.0W,35,1012,35.08,-74.0,2007
23624,20070531,Barry,0,LO,18.1N,87.0W,25,1008,18.02,-87.0,2007
23648,20070731,Chantal,0,TD,35.5N,66.5W,30,1007,35.08,-66.08,2007
23671,20070813,Dean,600,TD,12.2N,28.9W,30,1006,12.03,-28.15,2007
23713,20070815,Erin,0,TD,23.7N,90.7W,25,1006,23.12,-90.12,2007
23734,20070831,Felix,1200,TD,11.5N,56.6W,25,1009,11.08,-56.1,2007
23762,20070908,Gabrielle,0,SS,30.1N,71.8W,40,1011,30.02,-71.13,2007
23777,20070912,Ingrid,600,TD,13.0N,43.6W,25,1009,13.0,-43.1,2007
23803,20070912,Humberto,600,LO,27.3N,95.0W,25,1009,27.05,-95.0,2007
23814,20070921,Ten,1200,SD,29.1N,85.4W,30,1005,29.02,-85.07,2007
23818,20070923,Jerry,0,SD,36.2N,46.1W,30,1008,36.03,-46.02,2007
23826,20070925,Karen,0,TD,10.0N,35.9W,30,1006,10.0,-35.15,2007
23845,20070925,Lorenzo,1800,TD,21.8N,94.8W,25,1009,21.13,-94.13,2007
23859,20070928,Melissa,600,TD,14.0N,25.8W,25,1010,14.0,-25.13,2007
23890,20071011,Fifteen,1200,TD,29.5N,52.6W,30,1011,29.08,-52.1,2007
23916,20071024,Noel,0,LO,18.0N,60.2W,20,1010,18.0,-60.03,2007
23972,20071210,Olga,1200,LO,18.3N,61.8W,35,1009,18.05,-61.13,2007
23997,20080531,Arthur,0,TS,17.5N,87.5W,35,1005,17.08,-87.08,2008
24007,20080703,Bertha,600,TD,12.7N,22.9W,30,1008,12.12,-22.15,2008
24081,20080719,Cristobal,0,TD,31.7N,79.8W,25,1010,31.12,-79.13,2008
24099,20080720,Dolly,1200,TS,17.8N,83.6W,40,1008,17.13,-83.1,2008
24130,20080803,Edouard,1200,TD,28.1N,87.4W,25,1010,28.02,-87.07,2008
24144,20080815,Fay,1200,TD,18.4N,67.4W,30,1011,18.07,-67.07,2008
24204,20080825,Gustav,0,TD,13.5N,67.4W,25,1008,13.08,-67.07,2008
24254,20080828,Hanna,0,TD,19.4N,57.3W,30,1007,19.07,-57.05,2008
24303,20080901,Ike,600,TD,17.2N,37.0W,30,1006,17.03,-37.0,2008
24365,20080902,Josephine,0,TD,12.3N,21.9W,30,1007,12.05,-21.15,2008
24398,20080925,Kyle,0,TD,21.5N,70.0W,30,1005,21.08,-70.0,2008
24421,20080926,Laura,0,EX,39.0N,35.0W,40,1011,39.0,-35.0,2008
24455,20081006,Marco,0,TD,18.5N,91.7W,25,1006,18.08,-91.12,2008
24463,20081012,Nana,600,TD,15.5N,36.6W,30,1007,15.08,-36.1,2008
24477,20081013,Omar,600,TD,15.4N,69.0W,25,1005,15.07,-69.0,2008
24509,20081014,Sixteen,1200,TD,15.5N,82.8W,25,1004,15.08,-82.13,2008
24517,20081105,Paloma,1800,TD,13.7N,81.7W,25,1004,13.12,-81.12,2008
24553,20090526,One,1800,LO,30.6N,75.4W,25,1010,30.1,-75.07,2009
24568,20090810,Ana,600,LO,14.3N,24.0W,25,1008,14.05,-24.0,2009
24594,20090815,Bill,600,TD,11.8N,32.0W,30,1007,11.13,-32.0,2009
24640,20090816,Claudette,600,TD,27.0N,83.4W,30,1011,27.0,-83.07,2009
24648,20090826,Danny,900,TS,24.3N,69.6W,40,1009,24.05,-69.1,2009
24660,20090901,Erika,1800,TS,16.7N,57.3W,45,1007,16.12,-57.05,2009
24672,20090907,Fred,1800,TD,11.8N,24.0W,30,1005,11.13,-24.0,2009
24720,20090925,Eight,600,LO,14.8N,29.0W,20,1010,14.13,-29.0,2009
24727,20090927,Grace,1800,EX,46.0N,43.2W,55,995,46.0,-43.03,2009
24764,20091006,Henri,0,TD,15.1N,49.2W,30,1008,15.02,-49.03,2009
24787,20091104,Ida,600,TD,11.0N,81.3W,30,1007,11.0,-81.05,2009
24818,20100624,Alex,1800,LO,15.9N,82.0W,25,1007,15.15,-82.0,2010
24850,20100707,Two,600,LO,21.5N,91.1W,25,1006,21.08,-91.02,2010
24863,20100722,Bonnie,600,TD,21.5N,73.8W,30,1009,21.08,-73.13,2010
24881,20100802,Colin,1200,TD,12.5N,40.7W,30,1007,12.08,-40.12,2010
24906,20100810,Five,600,LO,25.7N,83.0W,25,1008,25.12,-83.0,2010
24938,20100821,Danielle,1200,LO,10.7N,31.1W,25,1009,10.12,-31.02,2010
24989,20100824,Earl,0,LO,12.4N,19.3W,25,1009,12.07,-19.05,2010
25044,20100830,Fiona,0,LO,14.0N,41.8W,25,1007,14.0,-41.13,2010
25068,20100901,Gaston,0,LO,12.2N,32.2W,25,1008,12.03,-32.03,2010
25098,20100904,Hermine,1800,LO,17.5N,95.6W,20,1006,17.08,-95.1,2010
25121,20100908,Igor,600,TD,14.0N,22.7W,30,1006,14.0,-22.12,2010
25182,20100912,Julia,600,TD,12.9N,20.5W,30,1007,12.15,-20.08,2010
25233,20100913,Karl,1800,LO,16.3N,78.5W,25,1005,16.05,-78.08,2010
25255,20100920,Lisa,0,LO,15.2N,32.0W,25,1008,15.03,-32.0,2010
25293,20100923,Matthew,1200,TD,13.7N,74.8W,30,1008,13.12,-74.13,2010
25309,20100928,Nicole,0,LO,19.4N,84.1W,25,1003,19.07,-84.02,2010
25321,20101006,Otto,600,SD,22.0N,67.2W,30,1000,22.0,-67.03,2010
25368,20101011,Paula,0,TD,13.9N,81.8W,30,1006,13.15,-81.13,2010
25389,20101019,Richard,1800,LO,17.2N,83.4W,30,1008,17.03,-83.07,2010
25418,20101028,Shary,1800,TD,25.6N,61.2W,30,1006,25.1,-61.03,2010
25427,20101029,Tomas,600,TD,9.0N,53.7W,30,1006,9.0,-53.12,2010
25481,20110628,Arlene,600,LO,19.9N,92.8W,25,1007,19.15,-92.13,2011
25494,20110716,Bret,600,LO,30.7N,79.7W,20,1014,30.12,-79.12,2011
25523,20110720,Cindy,600,TD,33.0N,59.5W,30,1010,33.0,-59.08,2011
25536,20110727,Don,600,TD,21.6N,85.7W,30,1007,21.1,-85.12,2011
25550,20110802,Emily,0,TS,14.9N,61.4W,40,1007,14.15,-61.07,2011
25574,20110812,Franklin,1200,LO,34.7N,66.0W,25,1011,34.12,-66.0,2011
25589,20110813,Gert,600,LO,26.2N,58.0W,30,1013,26.03,-58.0,2011
25608,20110819,Harvey,0,TD,15.4N,82.0W,30,1006,15.07,-82.0,2011
25625,20110821,Irene,0,TS,15.0N,59.0W,45,1006,15.0,-59.0,2011
25668,20110825,Ten,0,TD,12.3N,29.0W,30,1006,12.05,-29.0,2011
25677,20110826,Jose,1200,LO,27.3N,59.0W,30,1016,27.05,-59.0,2011
25690,20110828,Katia,0,LO,9.5N,19.0W,20,1012,9.08,-19.0,2011
25768,20110902,Lee,0,TD,26.6N,91.4W,30,1007,26.1,-91.07,2011
25790,20110906,Maria,1800,TD,11.5N,35.9W,30,1008,11.08,-35.15,2011
25832,20110906,Nate,1800,LO,20.3N,93.9W,30,1006,20.05,-93.15,2011
25855,20110920,Ophelia,600,LO,11.6N,37.0W,25,1008,11.1,-37.0,2011
25914,20110923,Philippe,0,LO,8.3N,17.5W,20,1010,8.05,-17.08,2011
25979,20111022,Rina,0,LO,12.7N,81.0W,25,1007,12.12,-81.0,2011
26010,20111106,Sean,0,EX,28.5N,70.0W,45,1005,28.08,-70.0,2011
26038,20120519,Alberto,0,LO,33.1N,77.0W,25,1010,33.02,-77.0,2012
26058,20120525,Beryl,1200,LO,30.1N,76.1W,30,1010,30.02,-76.02,2012
26091,20120617,Chris,0,LO,28.8N,68.8W,20,1009,28.13,-68.13,2012
26122,20120623,Debby,1200,TS,25.5N,87.6W,35,1002,25.08,-87.1,2012
26140,20120801,Ernesto,1200,TD,11.6N,46.7W,30,1008,11.1,-46.12,2012
26179,20120803,Florence,600,LO,12.2N,23.1W,25,1011,12.03,-23.02,2012
26200,20120809,Helene,1800,TD,13.7N,43.0W,30,1010,13.12,-43.0,2012
26238,20120815,Gordon,1200,TD,27.6N,54.6W,30,1013,27.1,-54.1,2012
26264,20120820,Isaac,1200,LO,15.7N,44.8W,25,1010,15.12,-44.13,2012
26315,20120821,Joyce,1800,LO,10.7N,31.7W,25,1011,10.12,-31.12,2012
26327,20120828,Kirk,1800,TD,23.9N,43.4W,30,1007,23.15,-43.07,2012
26349,20120828,Leslie,1200,LO,12.9N,27.4W,20,1010,12.15,-27.07,2012
26409,20120902,Michael,0,LO,28.9N,36.7W,20,1015,28.15,-36.12,2012
26451,20120910,Nadine,1200,TD,15.5N,38.0W,25,1008,15.08,-38.0,2012
26547,20121002,Oscar,1200,LO,12.4N,38.0W,25,1008,12.07,-38.0,2012
26560,20121010,Patty,1800,LO,25.5N,72.5W,25,1012,25.08,-72.08,2012
26571,20121012,Rafael,1800,TS,14.7N,62.7W,35,1006,14.12,-62.12,2012
26627,20121021,Sandy,1800,LO,14.3N,77.4W,25,1006,14.05,-77.07,2012
26672,20121021,Tony,1800,LO,20.1N,50.8W,25,1011,20.02,-50.13,2012
26692,20130605,Andrea,1800,TS,25.1N,86.6W,35,1006,25.02,-86.1,2013
26706,20130616,Barry,0,LO,12.4N,81.5W,20,1009,12.07,-81.08,2013
26729,20130707,Chantal,1200,TS,9.3N,41.4W,35,1011,9.05,-41.07,2013
26742,20130722,Dorian,1800,LO,11.3N,20.0W,25,1009,11.05,-20.0,2013
26793,20130815,Erin,0,TD,13.9N,23.3W,30,1008,13.15,-23.05,2013
26813,20130825,Fernand,1200,TD,18.7N,94.2W,30,1006,18.12,-94.03,2013
26820,20130904,Gabrielle,1800,TD,16.2N,65.9W,30,1010,16.03,-65.15,2013
26856,20130906,Eight,1200,TD,22.4N,97.4W,30,1009,22.07,-97.07,2013
26860,20130908,Humberto,0,LO,13.0N,17.6W,25,1009,13.0,-17.1,2013
26906,20130912,Ingrid,600,LO,19.3N,92.2W,25,1006,19.05,-92.03,2013
26928,20130928,Jerry,0,LO,21.1N,50.0W,30,1012,21.02,-50.0,2013
26961,20131003,Karen,600,TS,21.5N,86.8W,45,1006,21.08,-86.13,2013
26975,20131021,Lorenzo,600,TD,27.6N,55.9W,30,1012,27.1,-55.15,2013
26996,20131117,Melissa,0,EX,23.9N,52.4W,35,1006,23.15,-52.07,2013
27038,20140628,Arthur,1800,LO,32.0N,78.2W,20,1017,32.0,-78.03,2014
27085,20140719,Two,1200,LO,9.0N,29.0W,20,1012,9.0,-29.0,2014
27102,20140729,Bertha,600,LO,9.6N,37.1W,25,1013,9.1,-37.02,2014
27149,20140823,Cristobal,1800,TD,21.5N,72.2W,30,1005,21.08,-72.03,2014
27188,20140901,Dolly,1200,LO,19.2N,92.3W,25,1009,19.03,-92.05,2014
27201,20140910,Edouard,1800,LO,13.7N,33.2W,25,1009,13.12,-33.03,2014
27248,20141010,Fay,0,LO,22.0N,61.2W,35,1007,22.0,-61.03,2014
27262,20141011,Gonzalo,1800,LO,16.4N,54.9W,25,1010,16.07,-54.15,2014
27301,20141021,Hanna,0,LO,19.5N,95.3W,25,1002,19.08,-95.05,2014
27338,20150506,Ana,600,LO,26.8N,79.2W,25,1016,26.13,-79.03,2015
27366,20150616,Bill,0,TS,27.0N,94.3W,45,1005,27.0,-94.05,2015
27388,20150712,Claudette,0,LO,35.4N,75.4W,25,1010,35.07,-75.07,2015
27403,20150817,Danny,0,LO,9.6N,29.3W,25,1011,9.1,-29.05,2015
27434,20150824,Erika,1800,TS,14.3N,45.1W,40,1003,14.05,-45.02,2015
27450,20150830,Fred,0,TD,11.6N,17.5W,30,1007,11.1,-17.08,2015
27481,20150905,Grace,600,TD,12.0N,23.1W,25,1010,12.0,-23.02,2015
27498,20150908,Henri,600,LO,31.1N,62.2W,20,1014,31.02,-62.03,2015
27511,20150915,Nine,0,LO,11.5N,40.3W,20,1011,11.08,-40.05,2015
27530,20150915,Ida,1200,LO,9.4N,24.2W,25,1010,9.07,-24.03,2015
27581,20150926,Joaquin,1800,LO,26.8N,68.7W,20,1011,26.13,-68.12,2015
27657,20151108,Kate,1800,TD,22.2N,71.5W,30,1010,22.03,-71.08,2015
27677,20160107,Alex,0,EX,26.6N,75.3W,40,1010,26.1,-75.05,2016
27719,20160527,Bonnie,600,LO,27.2N,72.1W,30,1010,27.03,-72.02,2016
27775,20160605,Colin,1200,TD,21.6N,88.0W,30,1005,21.1,-88.0,2016
27790,20160618,Danielle,1800,LO,19.4N,91.6W,25,1010,19.07,-91.1,2016
27802,20160802,Earl,600,TS,16.3N,77.5W,40,1004,16.05,-77.08,2016
27822,20160816,Fiona,1800,TD,12.0N,32.2W,25,1009,12.0,-32.03,2016
27853,20160821,Gaston,1200,LO,11.0N,19.4W,20,1009,11.0,-19.07,2016
27906,20160827,Eight,0,LO,30.7N,65.0W,20,1012,30.12,-65.0,2016
27927,20160828,Hermine,1800,TD,23.8N,81.4W,30,1009,23.13,-81.07,2016
27974,20160912,Ian,0,LO,20.0N,48.5W,35,1007,20.0,-48.08,2016
27995,20160913,Julia,600,TD,27.3N,80.2W,30,1010,27.05,-80.03,2016
28028,20160912,Karl,1800,LO,13.1N,19.0W,20,1010,13.02,-19.0,2016
28082,20160919,Lisa,600,LO,13.2N,26.7W,25,1008,13.03,-26.12,2016
28112,20160928,Matthew,1200,TS,13.4N,59.8W,50,1009,13.07,-59.13,2016
28162,20161004,Nicole,600,TS,23.2N,59.8W,35,1007,23.03,-59.13,2016
28225,20161117,Otto,1800,LO,12.5N,80.7W,20,1006,12.08,-80.12,2016
28263,20170416,Arlene,600,EX,35.8N,50.3W,55,992,35.13,-50.05,2017
28290,20170618,Bret,1800,DB,7.5N,49.6W,30,1008,7.08,-49.1,2017
28299,20170619,Cindy,1800,DB,23.6N,88.6W,35,1003,23.1,-88.1,2017
28319,20170705,Four,1200,LO,11.8N,35.9W,20,1010,11.13,-35.15,2017
28328,20170717,Don,0,LO,10.3N,47.7W,25,1011,10.05,-47.12,2017
28335,20170730,Emily,1800,TD,28.4N,85.4W,30,1009,28.07,-85.07,2017
28346,20170806,Franklin,1800,LO,15.5N,81.5W,30,1008,15.08,-81.08,2017
28364,20170812,Gert,0,LO,22.4N,66.8W,25,1013,22.07,-66.13,2017
28392,20170816,Harvey,600,LO,13.7N,45.8W,25,1013,13.12,-45.13,2017
28466,20170830,Irma,0,TD,16.1N,26.9W,30,1008,16.02,-26.15,2017
28532,20170904,Jose,600,LO,9.3N,33.5W,20,1010,9.05,-33.08,2017
28617,20170905,Katia,1200,TD,22.2N,97.2W,25,1010,22.03,-97.03,2017
28635,20170914,Lee,1800,TD,10.4N,23.1W,25,1011,10.07,-23.02,2017
28698,20170916,Maria,1200,TD,12.2N,49.7W,30,1006,12.03,-49.12,2017
28766,20171003,Nate,1200,LO,10.7N,80.8W,20,1008,10.12,-80.13,2017
28798,20171006,Ophelia,1200,LO,31.8N,39.5W,20,1013,31.13,-39.08,2017
28845,20171027,Philippe,1800,DB,17.5N,84.2W,30,1006,17.08,-84.03,2017
28852,20171104,Rina,1200,LO,25.5N,52.3W,25,1013,25.08,-52.05,2017
28873,20180525,Alberto,1200,SD,18.8N,87.1W,30,1006,18.13,-87.02,2018
28899,20180704,Beryl,1200,TD,10.0N,34.9W,30,1008,10.0,-34.15,2018
28951,20180705,Chris,600,LO,30.7N,68.5W,20,1021,30.12,-68.08,2018
29001,20180802,Debby,1800,EX,41.2N,33.7W,30,1012,41.03,-33.12,2018
29033,20180815,Ernesto,0,LO,36.9N,45.5W,30,1011,36.15,-45.08,2018
