,hurricane_id,date,name,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year
70,71,19580808,Becky,1200,TD,16.5N,20.5W,25,-999,16.08,-20.08,1958
71,72,19580811,Cleo,600,TD,12.0N,20.5W,25,-999,12.0,-20.08,1958
72,73,19580823,Daisy,1800,TD,25.0N,73.0W,25,-999,25.0,-73.0,1958
73,74,19580830,Ella,600,TD,12.5N,58.0W,30,-999,12.08,-58.0,1958
74,75,19580904,Fifi,1200,TD,10.1N,44.8W,25,-999,10.02,-44.13,1958
75,76,19580914,Gerda,600,TS,17.4N,67.5W,40,-999,17.07,-67.08,1958
76,77,19580921,Helene,600,TD,17.0N,52.0W,25,-999,17.0,-52.0,1958
77,78,19580924,Ilsa,600,TS,17.5N,51.5W,50,-999,17.08,-51.08,1958
78,79,19581004,Janice,1200,TD,18.5N,81.1W,30,-999,18.08,-81.02,1958
79,80,19590528,Arlene,600,TD,23.3N,86.5W,25,-999,23.05,-86.08,1959
80,81,19590615,Beulah,1800,TS,21.1N,94.7W,35,-999,21.02,-94.12,1959
81,82,19590704,Cindy,1200,TD,31.5N,79.0W,25,-999,31.08,-79.0,1959
82,83,19590722,Debra,1800,TD,27.5N,91.2W,25,-999,27.08,-91.03,1959
83,84,19590818,Edith,0,TS,14.3N,57.9W,35,1007,14.05,-57.15,1959
84,85,19590909,Flora,600,TD,16.8N,45.8W,25,-999,16.13,-45.13,1959
85,86,19590920,Gracie,1200,TD,19.8N,68.3W,25,1009,19.13,-68.05,1959
86,87,19590927,Hannah,1200,TD,26.8N,49.9W,30,-999,26.13,-49.15,1959
87,88,19591006,Irene,1800,TD,23.2N,92.5W,30,-999,23.03,-92.08,1959
88,89,19591014,Judith,600,TD,14.0N,73.5W,30,-999,14.0,-73.08,1959
89,90,19600709,Abby,1200,TS,12.0N,55.8W,40,-999,12.0,-55.13,1960
90,91,19600727,Brenda,1800,TD,27.7N,85.1W,30,-999,27.12,-85.02,1960
91,92,19600817,Cleo,1800,TD,26.0N,74.7W,25,-999,26.0,-74.12,1960
92,93,19600829,Donna,1800,TD,10.2N,22.8W,25,-999,10.03,-22.13,1960
93,94,19600912,Ethel,1800,TD,22.0N,93.0W,25,-999,22.0,-93.0,1960
94,95,19600917,Florence,600,TD,20.9N,64.0W,25,-999,20.15,-64.0,1960
95,96,19610717,Anna,1800,TD,10.5N,46.0W,30,-999,10.08,-46.0,1961
96,97,19610902,Betsy,600,TS,13.3N,41.6W,55,-999,13.05,-41.1,1961
97,98,19610903,Carla,1200,TD,12.5N,77.0W,25,-999,12.08,-77.0,1961
98,99,19610905,Debbie,1200,TD,13.5N,17.7W,30,-999,13.08,-17.12,1961
99,100,19610910,Esther,1200,TD,11.2N,31.0W,30,-999,11.03,-31.0,1961
100,101,19610930,Frances,600,TS,16.0N,58.0W,35,-999,16.0,-58.0,1961
101,102,19611017,Gerda,0,TD,19.7N,77.9W,30,1003,19.12,-77.15,1961
102,103,19611026,Hattie,0,TD,10.5N,79.0W,25,-999,10.08,-79.0,1961
103,104,19611102,Jenny,0,TD,22.5N,59.0W,30,-999,22.08,-59.0,1961
104,105,19611104,Inga,0,TS,19.7N,94.3W,40,-999,19.12,-94.05,1961
105,106,19620826,Alma,1200,TD,25.7N,79.7W,25,-999,25.12,-79.12,1962
106,107,19620827,Becky,600,TS,16.0N,18.0W,40,-999,16.0,-18.0,1962
107,108,19620912,Celia,0,TS,15.9N,45.9W,35,-999,15.15,-45.15,1962
108,109,19620929,Daisy,600,TD,14.5N,48.9W,25,-999,14.08,-48.15,1962
109,110,19621014,Ella,600,TD,22.5N,73.0W,30,-999,22.08,-73.0,1962
110,111,19630731,Arlene,1800,TD,11.0N,39.4W,25,-999,11.0,-39.07,1963
111,112,19630820,Beulah,0,TD,11.2N,47.4W,25,-999,11.03,-47.07,1963
112,113,19630916,Cindy,1200,TS,26.7N,93.7W,40,-999,26.12,-93.12,1963
113,114,19630919,Debra,600,TD,14.0N,38.3W,25,-999,14.0,-38.05,1963
114,115,19630923,Edith,1200,TD,11.2N,51.5W,25,-999,11.03,-51.08,1963
115,116,19630928,Flora,1200,TD,9.2N,46.3W,30,-999,9.03,-46.05,1963
116,117,19631017,Ginny,1800,TD,25.5N,72.0W,20,-999,25.08,-72.0,1963
117,118,19631025,Helena,600,TD,14.8N,58.3W,25,-999,14.13,-58.05,1963
118,119,19640805,Abby,1800,TD,27.3N,87.7W,25,-999,27.05,-87.12,1964
119,120,19640808,Brenda,600,TD,33.0N,67.0W,30,-999,33.0,-67.0,1964
120,121,19640820,Cleo,1800,TS,13.1N,44.3W,40,1003,13.02,-44.05,1964
121,122,19640828,Dora,1200,TD,14.0N,17.0W,30,-999,14.0,-17.0,1964
122,123,19640904,Ethel,600,TD,17.7N,35.6W,25,-999,17.12,-35.1,1964
123,124,19640905,Florence,600,TD,14.5N,18.0W,30,1004,14.08,-18.0,1964
124,125,19640913,Gladys,600,TS,14.7N,44.5W,55,-999,14.12,-44.08,1964
125,126,19640928,Hilda,1200,TD,21.2N,80.0W,25,-999,21.03,-80.0,1964
126,127,19641009,Isbell,600,TD,15.5N,83.0W,30,-999,15.08,-83.0,1964
127,128,19650821,Anna,600,TS,32.4N,52.3W,35,-999,32.07,-52.05,1965
128,129,19650827,Betsy,0,TD,11.0N,50.5W,25,-999,11.0,-50.08,1965
129,130,19650916,Carol,600,TD,13.3N,20.1W,25,-999,13.05,-20.02,1965
130,131,19650924,Debbie,1200,TD,17.3N,85.0W,25,-999,17.05,-85.0,1965
131,132,19651012,Elena,1200,TD,16.5N,47.5W,30,-999,16.08,-47.08,1965
132,133,19660604,Alma,600,TD,12.7N,84.0W,25,-999,12.12,-84.0,1966
133,134,19660701,Becky,1800,TD,32.4N,57.8W,25,-999,32.07,-57.13,1966
134,135,19660713,Celia,1200,TD,19.1N,59.5W,25,-999,19.02,-59.08,1966
135,136,19660722,Ella,1200,TD,10.0N,35.0W,25,-999,10.0,-35.0,1966
136,137,19660722,Dorothy,1800,TD,31.0N,41.0W,25,-999,31.0,-41.0,1966
137,138,19660821,Faith,0,TD,12.9N,20.5W,25,-999,12.15,-20.08,1966
138,139,19660901,Greta,1200,TD,13.7N,48.4W,25,-999,13.12,-48.07,1966
139,140,19660920,Hallie,1200,TD,21.5N,95.4W,30,-999,21.08,-95.07,1966
140,141,19660921,Inez,1200,TD,9.9N,35.1W,25,-999,9.15,-35.02,1966
141,142,19660927,Judith,0,TD,10.8N,43.2W,25,-999,10.13,-43.03,1966
142,143,19661104,Lois,1200,TD,26.5N,50.0W,25,-999,26.08,-50.0,1966
143,144,19670828,Arlene,1800,TD,15.8N,35.8W,30,-999,15.13,-35.13,1967
144,145,19670905,Chloe,0,TD,15.4N,20.3W,30,-999,15.07,-20.05,1967
145,146,19670905,Beulah,1200,TD,14.0N,57.0W,30,-999,14.0,-57.0,1967
